Kennziffer;Raumeinheit;Aggregat;Beschäftigtenquote Frauen;Beschäftigtenquote Männer;Teilzeitbeschäftigte;Teilzeitbeschäftige Frauen
8116;Esslingen;Kreise;62,99;72,72;25,26;47,24
8117;Göppingen;Kreise;60,12;71,89;27,62;51,2
8118;Ludwigsburg;Kreise;63,95;75,68;25,78;48,17
8119;Rems-Murr-Kreis;Kreise;60,89;70,12;28,47;50,92
8121;Heilbronn, Stadtkreis;Kreise;60,21;70,39;26,36;44,41
8125;Heilbronn;Kreise;62,6;75,08;21,71;45,16
8126;Hohenlohekreis;Kreise;64,98;77,14;20,6;44,54
8127;Schwäbisch Hall;Kreise;64,15;75,53;25,24;48,63
8128;Main-Tauber-Kreis;Kreise;65,24;73,79;27,92;52,36
8135;Heidenheim;Kreise;61,04;73,62;26,81;49,95
8136;Ostalbkreis;Kreise;60,06;72,3;25,8;49,88
8211;Baden-Baden, Stadtkreis;Kreise;60,68;68,6;28,55;45,26
8212;Karlsruhe, Stadtkreis;Kreise;57,61;63,02;28,35;45,71
8215;Karlsruhe;Kreise;62,55;71,25;26,83;50,08
8216;Rastatt;Kreise;63,72;76,3;23,23;49,81
8221;Heidelberg, Stadtkreis;Kreise;49,77;55,43;33,04;45,86
8222;Mannheim, Stadtkreis;Kreise;57,66;67,08;25,92;43,93
8225;Neckar-Odenwald-Kreis;Kreise;60,88;71,34;29,14;54,55
8226;Rhein-Neckar-Kreis;Kreise;60,84;68,95;29,1;50,69
8231;Pforzheim, Stadtkreis;Kreise;55,11;66,69;28,83;45,83
8235;Calw;Kreise;63,48;74,77;30,23;52,18
8236;Enzkreis;Kreise;63,64;73,43;24,57;48,7
8237;Freudenstadt;Kreise;63,51;73,97;24,33;47,23
8311;Freiburg im Breisgau, Stadtkreis;Kreise;53,05;58,68;37,82;52,1
8315;Breisgau-Hochschwarzwald;Kreise;62,46;66,63;31,5;54,5
8316;Emmendingen;Kreise;65,97;70,89;31,71;55,25
8317;Ortenaukreis;Kreise;63,9;72,29;26,95;50,18
8325;Rottweil;Kreise;64,41;74,86;24,06;46,4
8326;Schwarzwald-Baar-Kreis;Kreise;63,94;72,51;25,98;46,25
8327;Tuttlingen;Kreise;63,29;74,01;21,07;42,63
8335;Konstanz;Kreise;57,42;61,02;32,05;51,09
8336;Lörrach;Kreise;51,45;52,68;30,85;51,93
8337;Waldshut;Kreise;54,75;53,15;30,9;52,93
8415;Reutlingen;Kreise;62,37;71,43;27,37;48,67
8416;Tübingen;Kreise;57,14;63,78;37,74;55,55
8417;Zollernalbkreis;Kreise;62,89;71,28;26,95;48,93
8421;Ulm, Stadtkreis;Kreise;60,23;69,6;25,61;42,67
8425;Alb-Donau-Kreis;Kreise;63,15;74,64;25,73;53,09
8426;Biberach;Kreise;64,18;74,48;24,48;48,31
8435;Bodenseekreis;Kreise;64,27;73,63;27,94;50,53
8436;Ravensburg;Kreise;63,22;71,59;30,4;51,78
8437;Sigmaringen;Kreise;62,91;70,66;28,24;52,46
9161;Ingolstadt;Kreise;61,7;76,61;21,84;46,22
9162;München, Landeshauptstadt;Kreise;64,15;69,98;25,98;39,8
9163;Rosenheim, Stadt;Kreise;62,58;68,91;34,54;52,18
9171;Altötting;Kreise;61,89;75,41;31,48;57,26
9172;Berchtesgadener Land;Kreise;58,47;59,94;31,35;52,17
9173;Bad Tölz-Wolfratshausen;Kreise;63,83;67,63;31,16;51,94
9174;Dachau;Kreise;69,06;76,13;31,07;52,06
9175;Ebersberg;Kreise;67,32;73,65;28,67;50,48
9176;Eichstätt;Kreise;59,52;74,39;28,63;53,89
9177;Erding;Kreise;67,09;73,79;31,77;52,7
9178;Freising;Kreise;65,33;75,08;31,35;54,12
9179;Fürstenfeldbruck;Kreise;65,5;73,44;31,61;53,96
9180;Garmisch-Partenkirchen;Kreise;64,98;64,8;35,97;50,69
9181;Landsberg am Lech;Kreise;62,49;68,62;31,72;55,11
9182;Miesbach;Kreise;67,18;69,84;29,7;47,37
9183;Mühldorf a.Inn;Kreise;61,41;71,31;29;53,78
9184;München;Kreise;64,66;70,16;22,15;38,77
9185;Neuburg-Schrobenhausen;Kreise;64,06;75,36;27,87;53,88
9186;Pfaffenhofen a.d.Ilm;Kreise;64,25;75,4;26,06;51,9
9187;Rosenheim;Kreise;65,02;69,64;31,85;53,32
9188;Starnberg;Kreise;59,24;63,36;27,95;47,15
9189;Traunstein;Kreise;65,45;73,3;28,49;51,42
9190;Weilheim-Schongau;Kreise;64,17;70,35;30,9;52,63
9261;Landshut, Stadt;Kreise;65,77;75,64;33,99;50,72
9262;Passau, Stadt;Kreise;56,08;62,89;31,96;52,62
9263;Straubing;Kreise;63,53;70,14;31,07;51,79
9271;Deggendorf;Kreise;61,7;72,07;27,3;51,95
9272;Freyung-Grafenau;Kreise;61,34;70,75;30,11;56,51
9273;Kelheim;Kreise;61,72;74,74;28,96;53,72
9274;Landshut;Kreise;63,89;75,8;25,77;51,65
9275;Passau;Kreise;62,4;69,49;28,63;54,01
9276;Regen;Kreise;61,2;70,07;30,52;54,85
9277;Rottal-Inn;Kreise;61,24;73,4;31,12;54,34
9278;Straubing-Bogen;Kreise;62,96;72,79;28,83;54,22
9279;Dingolfing-Landau;Kreise;63,57;78,5;20;47,18
9361;Amberg;Kreise;63,28;69,13;30,89;52,77
9362;Regensburg, Stadt;Kreise;62,83;70,66;30,99;49,63
9363;Weiden i.d.OPf.;Kreise;63,86;66,81;35,49;54,89
9371;Amberg-Sulzbach;Kreise;64,21;71,25;29,3;56,28
9372;Cham;Kreise;63,26;72,53;30,03;54,78
